'	exclamation	lex112884.1_ἒ
κέκληκε	verb	lex30505.1_καλέω
κέκληκεν	verb	lex30505.1_καλέω
κέκληται	verb	lex29516.1_κέλομαι
κέκληται	verb	lex30505.1_καλέω
κέκλιται	verb	lex35048.1_κλίνω
κέκλυτέ	verb	lex35418.1_κλύω
κέκτηται	verb	lex37455.1_κτάομαι
κέκτηται	verb	lex37460.1_κτέομαι
κέλεται	verb	lex29516.1_κέλομαι
κέλευε	verb	lex34078.1_κελεύω
κέλευθα	noun	lex29507.1_κέλευθος
κέλευσε	verb	lex34078.1_κελεύω
κέλευσιν	noun	lex29509.1_κέλευσις
κέλευσον	verb	lex34078.1_κελεύω
κέν	particle	lex98755.1_ἄν1
κέντρα	noun	lex29527.1_κέντρον
κέντρου	verb	lex34194.1_κεντρόω
κέντρου	noun	lex29527.1_κέντρον
κέντρων	noun	lex29528.1_κέντρων
κέντρων	noun	lex29527.1_κέντρον
κέντρων	verb	lex34194.1_κεντρόω
κέραα	noun	lex29537.1_κέρας
κέρας	noun	lex29537.1_κέρας
κέρασιν	noun	lex29537.1_κέρας
κέρατα	noun	lex29537.1_κέρας
κέρατος	noun	lex29537.1_κέρας
κέρδεά	noun	lex29542.1_κέρδος
κέρδεα	noun	lex29542.1_κέρδος
κέρδιον	verb	lex34368.1_κερδαίνω
κέρδιον	adjective	lex34367.1_κερδίων
κέρδιστος	adjective	lex34367.1_κερδίων
κέρμα	noun	lex29557.1_κέρμα
κέρᾳ	noun	lex29537.1_κέρας
κέχρηνται	verb	lex81333.1_χράω2
κέχρηται	verb	lex81333.1_χράω2
κέωνται	verb	lex34530.1_κεῖμαι
κέωνται	verb	lex29578.1_κέω
κήδεαι	verb	lex29584.1_κήδω
κήδεται	verb	lex29584.1_κήδω
κήλεον	adjective	lex29590.1_κήλεος
κήλεον	verb	lex34573.1_κηλέω
κήλιον	verb	lex34573.1_κηλέω
κήπῳ	noun	lex38743.1_κῆπος
κήρας	noun	lex29604.1_κήρα
κήρεσσι	noun	lex29603.1_κήρ
κήρυκές	noun	lex38745.1_κῆρυξ
κήρυκας	noun	lex38745.1_κῆρυξ
κήρυκες	noun	lex38745.1_κῆρυξ
κήρυκι	noun	lex38745.1_κῆρυξ
κήρυκος	noun	lex38745.1_κῆρυξ
κήρυσσον	verb	lex34718.1_κηρύσσω
κήτεσιν	noun	lex38746.1_κῆτος
κήτους	noun	lex38746.1_κῆτος
κίβδηλος	adjective	lex29621.1_κίβδηλος
κίκλησκεν	verb	lex34796.1_κικλήσκω
κίνδυνοι	noun	lex29665.1_κίνδυνος
κίνδυνον	noun	lex29665.1_κίνδυνος
κίνδυνος	noun	lex29665.1_κίνδυνος
κίνημα	noun	lex29668.1_κίνημα
κίνησιν	noun	lex29669.1_κίνησις
κίνησις	noun	lex29669.1_κίνησις
κίον	verb	lex29578.1_κέω
κίον	verb	lex29709.1_κίω
κα	particle	lex98755.1_ἄν1
καί	conjunction	lex29711.1_καί
καίεσθαι	verb	lex29728.1_καίω
καίπερ	particle	lex29719.1_καίπερ
καίριον	adjective	lex29723.1_καίριος
καίτοι	particle	lex29726.1_καίτοι
καίω	verb	lex29728.1_καίω
καββαίη	verb	lex31869.1_καταβαίνω
καησομένας	verb	lex29728.1_καίω
καθ'	adverb	lex30008.1_καθό
καθ'	adverb	lex29768.1_καθά
καθ'	preposition	lex31485.1_κατά
καθΐκεο	verb	lex29927.1_καθικνέομαι
καθάπερ	adverb	lex29768.1_καθά
καθάπτεσθαι	verb	lex29772.1_καθάπτω
καθάπτεται	verb	lex29772.1_καθάπτω
καθάπτετο	verb	lex29772.1_καθάπτω
καθέδρα	noun	lex29783.1_καθέδρα
καθέδραν	noun	lex29783.1_καθέδρα
καθέζεσθαι	verb	http://data.perseus.org/collections/_κατά-ἕζομαι
καθέζεσθαι	verb	http://data.perseus.org/collections/_κατά-καθέζομαι
καθέζεται	verb	http://data.perseus.org/collections/_κατά-καθέζομαι
καθέζεται	verb	http://data.perseus.org/collections/_κατά-ἕζομαι
καθέζετο	verb	http://data.perseus.org/collections/_κατά-ἕζομαι
καθέζετο	verb	http://data.perseus.org/collections/_κατά-καθέζομαι
καθέζοιντο	verb	http://data.perseus.org/collections/_κατά-ἕζομαι
καθέζοιντο	verb	http://data.perseus.org/collections/_κατά-καθέζομαι
καθέζοιτο	verb	http://data.perseus.org/collections/_κατά-ἕζομαι
καθέζοιτο	verb	http://data.perseus.org/collections/_κατά-καθέζομαι
καθέζονται	verb	http://data.perseus.org/collections/_κατά-καθέζομαι
καθέζονται	verb	http://data.perseus.org/collections/_κατά-ἕζομαι
καθέξεσθαι	verb	lex31832.1_κατέχω
καθέστηκεν	verb	lex29807.1_καθίστημι
καθήγνισται	verb	lex29814.1_καθαγνίζω
καθήλατο	verb	lex29769.1_καθάλλομαι
καθήμενον	verb	lex29201.1_κάθημαι
καθήμενος	verb	lex29201.1_κάθημαι
καθίζουσιν	verb	lex29801.1_καθίζω
καθίσαντες	verb	lex29801.1_καθίζω
καθίστανε	verb	lex29937.1_καθιστάνω
καθίστασθαι	verb	lex29807.1_καθίστημι
καθαίρεσιν	noun	lex29809.1_καθαίρεσις
καθαίρω	verb	lex29810.1_καθαίρω
καθαίρων	verb	lex29810.1_καθαίρω
καθαιρουμένους	verb	lex29819.1_καθαιρέω
καθαλλομένη	verb	lex29769.1_καθάλλομαι
καθαπτομένη	verb	lex29772.1_καθάπτω
καθαπτόμενος	verb	lex29772.1_καθάπτω
καθαρθεὶς	verb	lex29810.1_καθαίρω
καθαρθῆναι	verb	lex29810.1_καθαίρω
καθαροῦ	adjective	lex29860.1_καθαρός
καθαρσίων	noun	lex29190.1_κάθαρσις
καθαρσίων	adjective	lex29780.1_καθάρσιος
καθαρσίων	adjective	lex29780.1_καθάρσιος
καθαρσίων	noun	lex29190.1_κάθαρσις
καθαρὸν	adjective	lex29860.1_καθαρός
καθαρὸς	adjective	lex29860.1_καθαρός
καθαρῶν	adjective	lex29860.1_καθαρός
καθαρῶν	verb	lex29810.1_καθαίρω
καθαρῶς	adjective	lex29860.1_καθαρός
καθαρῷ	adjective	lex29860.1_καθαρός
καθαίρεται	verb	lex29810.1_καθαίρω
καθείλκυσεν	verb	lex29787.1_καθέλκω
καθείρξαντας	verb	lex33404.1_κατείργω
καθεζομένους	verb	http://data.perseus.org/collections/_κατά-ἕζομαι
καθεζομένους	verb	http://data.perseus.org/collections/_κατά-καθέζομαι
καθεζόμενος	verb	http://data.perseus.org/collections/_κατά-καθέζομαι
καθεζόμενος	verb	http://data.perseus.org/collections/_κατά-ἕζομαι
καθεζόμενον	verb	http://data.perseus.org/collections/_κατά-καθέζομαι
καθεζόμενον	verb	http://data.perseus.org/collections/_κατά-ἕζομαι
καθεκτικῆς	adjective	lex29869.1_καθεκτικός
καθελκυσθῆναι	verb	lex29787.1_καθέλκω
καθεστῶτα	verb	lex29807.1_καθίστημι
καθεστῶτα	noun	lex29879.1_καθεστῶτα
καθεύδει	verb	lex29893.1_καθεύδω
καθεύδειν	verb	lex29893.1_καθεύδω
καθεύδοντός	verb	lex29893.1_καθεύδω
καθεώρων	verb	lex29961.1_καθοράω
καθεῖργμαι	verb	lex33404.1_κατείργω
καθεῦδε	verb	lex29893.1_καθεύδω
καθημαξευμένα	verb	http://data.perseus.org/collections/_κατά-ἁμαξεύω
καθημένων	verb	lex29201.1_κάθημαι
καθικόντων	verb	lex29927.1_καθικνέομαι
